,city,state,lat,lon,pop,density,value
0,New York,NY,40.6943,-73.9249,18680025,10768.0,0.960246460891086
1,Los Angeles,CA,34.1141,-118.4068,12531334,3267.0,0.9373501562714491
2,Chicago,IL,41.8375,-87.6866,8586888,4576.0,0.9156712505587432
3,Miami,FL,25.784,-80.2101,6076316,4945.0,0.8958366803722536
4,Dallas,TX,32.7935,-96.7667,5910669,1522.0,0.8942514893909125
5,Houston,TX,29.786,-95.3885,5724418,1394.0,0.8924151776511583
6,Philadelphia,PA,40.0077,-75.1339,5540199,4544.0,0.890539159463377
7,Atlanta,GA,33.7628,-84.422,5151496,1419.0,0.8863671708551598
8,Washington,DC,38.9047,-77.0163,5066973,4434.0,0.8854183607326122
9,Boston,MA,42.3188,-71.0852,4465966,5505.0,0.8781771791045135
10,Phoenix,AZ,33.5722,-112.0892,4187723,1236.0,0.8744878021971213
11,Detroit,MI,42.3834,-83.1024,3731486,1871.0,0.8678721874113777
12,San Francisco,CA,37.7558,-122.4449,3557982,7199.0,0.8651414746160481
13,Seattle,WA,47.6211,-122.3244,3530752,3414.0,0.8647008574322631
14,San Diego,CA,32.8313,-117.1222,3178495,1675.0,0.858672961877188
15,Minneapolis,MN,44.9635,-93.2678,2885614,3035.0,0.8531287150160948
16,Tampa,FL,27.9945,-82.4447,2771700,1340.0,0.8508187475914327
17,Brooklyn,NY,40.6501,-73.9496,2736074,15200.0,0.8500767929741212
18,Denver,CO,39.762,-104.8758,2709398,1805.0,0.8495148800947834
19,Queens,NY,40.7498,-73.7976,2405464,8503.0,0.8426909017804803
20,Baltimore,MD,39.3051,-76.6144,2270087,2872.0,0.8393687931648335
21,Las Vegas,NV,36.2333,-115.2654,2165405,1754.0,0.8366611514362235
22,St. Louis,MO,38.6359,-90.2451,2144317,1905.0,0.8360998838846397
23,Riverside,CA,33.9381,-117.3949,2112239,1556.0,0.8352354386461694
24,Portland,OR,45.5371,-122.65,2072553,1881.0,0.8341476192351601
25,San Antonio,TX,29.4632,-98.5238,2036324,1183.0,0.8331362149394731
26,Sacramento,CA,38.5677,-121.4685,1882358,1971.0,0.8286271263852412
27,San Juan,PR,18.3985,-66.061,1854549,2982.0,0.8277735125755701
28,San Jose,CA,37.3012,-121.848,1797166,2229.0,0.8259708997466069
29,Orlando,FL,28.4773,-81.337,1792047,994.0,0.8258073060654706
30,Cleveland,OH,41.4764,-81.6805,1742437,1903.0,0.8241972089854779
31,Pittsburgh,PA,40.4397,-79.9763,1719289,2100.0,0.8234301873932963
32,Manhattan,NY,40.7834,-73.9662,1694263,28653.0,0.8225892318622904
33,Austin,TX,30.3005,-97.7522,1685522,1165.0,0.8222925757183264
34,Cincinnati,OH,39.1413,-84.506,1684800,1501.0,0.8222680033994877
35,Indianapolis,IN,39.7771,-86.1458,1636763,928.0,0.8206090125260965
36,Kansas City,MO,39.1238,-94.5541,1602005,602.0,0.8193779731459119
37,Columbus,OH,39.9862,-82.9855,1547862,1560.0,0.8174061261637345
38,Charlotte,NC,35.2083,-80.8303,1526465,1094.0,0.8166077819665123
39,Virginia Beach,VA,36.7335,-76.0435,1475522,711.0,0.8146610877619277
40,Bronx,NY,40.8501,-73.8662,1472654,13356.0,0.8145495026610209
41,Milwaukee,WI,43.0642,-87.9675,1390046,2379.0,0.8112385940531729
42,Providence,RI,41.823,-71.4187,1204385,3764.0,0.8030161318026542
43,Jacksonville,FL,30.3322,-81.6749,1165107,466.0,0.8011145534031267
44,Salt Lake City,UT,40.7776,-111.9311,1135747,700.0,0.7996507899609006
45,Nashville,TN,36.1715,-86.7842,1081876,541.0,0.796863814771821
46,Raleigh,NC,35.8324,-78.6429,1073795,1232.0,0.7964338181983269
47,Memphis,TN,35.1087,-89.9663,1072330,846.0,0.7963555179730694
48,Richmond,VA,37.5295,-77.4756,1025117,1476.0,0.7937731132853723
49,Louisville,KY,38.1663,-85.6485,1004821,906.0,0.7926262213843459
50,New Orleans,LA,30.0687,-89.9288,957783,891.0,0.7898765570650963
51,Bridgeport,CT,41.1918,-73.1954,948918,3485.0,0.7893432472114811
52,Oklahoma City,OK,35.4676,-97.5136,947247,413.0,0.789242163595475
53,Buffalo,NY,42.9018,-78.8487,926607,2446.0,0.7879786735047447
54,Hartford,CT,41.7661,-72.6834,918434,2722.0,0.7874705624413718
55,Fort Worth,TX,32.7817,-97.3474,892221,992.0,0.7858098604913643
56,Tucson,AZ,32.1541,-110.8787,883127,873.0,0.7852222959402828
57,Honolulu,HI,21.3294,-157.846,834138,2214.0,0.7819491946802796
58,McAllen,TX,26.2252,-98.2467,805270,883.0,0.7799291783855422
59,El Paso,TX,31.8476,-106.43,798217,1015.0,0.7794246430657004
60,Omaha,NE,41.2627,-96.0529,791432,1307.0,0.7789350541451864
61,Albuquerque,NM,35.1054,-106.6465,762853,1155.0,0.7768257186718311
62,Birmingham,AL,33.5279,-86.7971,753721,553.0,0.7761350211806414
63,Sarasota,FL,27.3387,-82.5432,727388,1518.0,0.7740954474119728
64,Dayton,OH,39.7805,-84.2003,723844,971.0,0.7738153313169683
65,Rochester,NY,43.168,-77.6162,720189,2227.0,0.773525001578058
66,Fresno,CA,36.783,-119.7939,702486,1763.0,0.7720976074060183
67,Tulsa,OK,36.1283,-95.9042,698349,786.0,0.7717588567598291
68,Allentown,PA,40.5961,-75.4756,688658,2664.0,0.7709574050848216
69,Concord,CA,37.9722,-122.0016,667250,1633.0,0.7691462222351225
70,Cape Coral,FL,26.6443,-81.9957,649339,690.0,0.7675856756468912
71,Charleston,SC,32.8168,-79.9687,645413,461.0,0.767237863000577
72,Colorado Springs,CO,38.8674,-104.7605,621332,932.0,0.7650570522671736
73,Springfield,MA,42.1155,-72.5395,615728,1861.0,0.7645374265151009
74,Grand Rapids,MI,42.9619,-85.6562,615273,1719.0,0.7644950296892079
75,Ogden,UT,41.2279,-111.9682,615015,1221.0,0.7644709753596212
76,Columbia,SC,34.0378,-80.9036,609689,378.0,0.7639721447483262
77,Baton Rouge,LA,30.442,-91.1311,605449,993.0,0.7635719030343339
78,Knoxville,TN,35.9692,-83.9496,603685,733.0,0.7634045610985756
79,Mission Viejo,CA,33.6096,-117.6551,600802,2091.0,0.7631300096827338
80,Albany,NY,42.6664,-73.7987,590823,1747.0,0.7621694200348745
81,Akron,OH,41.0798,-81.5219,570375,1230.0,0.7601493343709147
82,New Haven,CT,41.3113,-72.9246,566683,2693.0,0.7597768904127932
83,Provo,UT,40.2457,-111.6457,563884,1082.0,0.7594929103741216
84,Bakersfield,CA,35.3529,-119.0359,556892,979.0,0.7587773132866272
85,Murrieta,CA,33.5719,-117.1909,524133,1310.0,0.755300285003296
86,Des Moines,IA,41.5725,-93.6105,519180,943.0,0.7547557355771012
87,Worcester,MA,42.2705,-71.8079,516483,1913.0,0.7544570296775509
88,Mesa,AZ,33.4015,-111.7178,508918,1416.0,0.7536107704674978
89,Toledo,OH,41.6638,-83.5827,498645,1319.0,0.7524412159787762
90,Palm Bay,FL,27.9631,-80.6593,496640,508.0,0.7522101437046395
91,Staten Island,NY,40.5834,-74.1496,495747,3286.0,0.752106926797234
92,Wichita,KS,37.6895,-97.3443,484715,930.0,0.7508162361927817
93,Harrisburg,PA,40.2752,-76.8843,472261,2342.0,0.7493233982406434
94,Long Beach,CA,33.7977,-118.167,462081,3518.0,0.748073601391932
95,Little Rock,AR,34.7256,-92.3577,446814,637.0,0.7461466925275526
96,Madison,WI,43.0822,-89.393,445499,1253.0,0.745977652645913
97,Greenville,SC,34.8354,-82.3646,441303,905.0,0.7454349119469604
98,Reno,NV,39.5497,-119.8483,440547,890.0,0.7453365770842921
99,Port St. Lucie,FL,27.2796,-80.3884,435182,634.0,0.7446338515070866
