,status,walkscore,updated,snapped_lon,snapped_lat,transitscore,bikescore,city
0,1,46,2022-04-23 22:51:44.196809,-119.8755,39.5265,26.0,21.0,Reno
1,1,48,2022-04-07 18:34:27.311916,-119.8545,39.5415,26.0,51.0,Reno
2,1,95,2022-03-26 12:34:05.798127,-119.8095,39.516,46.0,84.0,Reno
3,1,42,2021-12-08 15:30:12.870523,-119.7795,39.5295,47.0,70.0,Reno
4,1,1,2022-03-06 01:53:46.754832,-119.9055,39.5205,20.0,22.0,Reno
5,1,0,2021-12-15 18:58:17.474226,-119.8755,39.5595,,,Reno
6,1,15,2022-03-07 10:01:50.715840,-119.8725,39.543,25.0,21.0,Reno
7,1,0,2021-12-15 18:57:50.204530,-119.9055,39.564,,,Reno
8,1,0,2021-12-15 18:56:58.021851,-119.8875,39.567,,,Reno
9,1,0,2022-02-04 07:13:08.276127,-119.8635,39.594,,2.0,Reno
10,1,3,2022-03-05 01:44:39.892227,-80.4435,27.2595,,44.0,Port St. Lucie
11,1,18,2022-03-05 09:09:52.168649,-80.376,27.279,,31.0,Port St. Lucie
12,1,0,2022-03-11 05:52:47.297108,-80.3955,27.2445,,25.0,Port St. Lucie
13,1,9,2022-03-06 01:01:13.082979,-80.3805,27.303,,28.0,Port St. Lucie
14,1,0,2021-12-08 18:34:37.500439,-80.418,27.2505,,39.0,Port St. Lucie
15,1,14,2022-03-04 21:33:25.660149,-80.3715,27.285,,29.0,Port St. Lucie
16,1,7,2021-12-08 18:36:56.151639,-80.415,27.3195,,41.0,Port St. Lucie
17,1,0,2022-03-04 17:13:08.681106,-80.427,27.2895,,44.0,Port St. Lucie
18,1,0,2022-05-20 22:32:52.596915,-80.4225,27.288,,38.0,Port St. Lucie
19,1,0,2022-03-07 03:57:46.821707,-80.403,27.2445,,25.0,Port St. Lucie
20,1,14,2021-12-14 08:56:37.226840,-76.23,40.0545,,33.0,Lancaster
21,1,4,2022-03-18 05:21:07.165249,-76.311,39.9975,,1.0,Lancaster
22,1,0,2022-04-01 00:47:21.608720,-76.299,39.999,,2.0,Lancaster
23,1,57,2022-04-18 06:02:44.240057,-76.338,40.08,,54.0,Lancaster
24,1,58,2021-12-14 03:54:01.365773,-76.356,40.0425,,39.0,Lancaster
25,1,1,2022-03-23 19:27:08.745484,-76.317,40.011,,11.0,Lancaster
26,1,86,2022-03-27 05:33:45.652150,-76.2975,40.0485,,62.0,Lancaster
27,1,12,2021-12-14 08:56:23.945111,-76.2465,40.065,,18.0,Lancaster
28,1,7,2022-05-21 20:55:22.061833,-76.32,40.0875,,49.0,Lancaster
29,1,4,2021-12-10 14:23:30.017904,-76.3125,40.0185,,5.0,Lancaster
30,1,3,2021-12-08 19:15:53.295310,-117.4875,47.706,22.0,35.0,Spokane
31,1,63,2022-03-31 21:08:28.740117,-117.447,47.667,40.0,61.0,Spokane
32,1,89,2021-11-22 17:07:30.875809,-117.4275,47.6655,53.0,70.0,Spokane
33,1,5,2021-12-08 19:16:19.286927,-117.4785,47.652,21.0,14.0,Spokane
34,1,73,2022-03-25 21:49:03.578887,-117.3945,47.6775,41.0,75.0,Spokane
35,1,61,2022-03-06 20:40:21.962887,-117.438,47.658,61.0,63.0,Spokane
36,1,11,2021-12-05 06:53:36.280695,-117.4605,47.679,40.0,32.0,Spokane
37,1,1,2022-03-22 11:56:12.449473,-117.486,47.67,,29.0,Spokane
38,1,62,2022-06-01 02:42:22.427091,-117.399,47.682,40.0,52.0,Spokane
39,1,82,2022-05-31 00:01:02.380207,-117.4305,47.667,51.0,66.0,Spokane
40,1,63,2022-03-08 19:30:37.966141,-97.158,33.207,37.0,48.0,Denton
41,1,1,2021-12-08 22:49:26.522390,-97.1565,33.174,,25.0,Denton
42,1,58,2021-12-08 22:48:29.657177,-97.1205,33.2205,37.0,53.0,Denton
43,1,50,2021-12-08 22:46:36.620841,-97.1115,33.1905,22.0,49.0,Denton
